,Sols,elysium2028,elysium2031,oxia2028,oxia2031,mawrth_vallis2028,mawrth_vallis2031,vernal2028,vernal2031,valles2028,valles2031,aram2028,aram2031,meridiani2028,meridiani2031,eberswalde2028,eberswalde2031
20,,3.537102144793302,3.6896470957001655,3.6359657327496144,3.235054796716303,3.6013406266629047,3.1302267805729103,3.604863310007075,3.526620886542454,3.132213251860945,3.7213406921715917,3.4662914709080415,3.5700844281834736,3.5204720457349827,3.7191769587321577,2.7100909066505725,3.589829522949393
21,,3.534935837056292,3.6835562133557507,3.632288713920208,3.224826503448446,3.595879757322892,3.115935733811961,3.5998555099878202,3.5159770629184255,3.1334641001776733,3.717108138631279,3.4617610344053364,3.5609236546515364,3.5178683438068323,3.7106620099841425,2.710554060839127,3.5853101890815697
22,,3.532560614038083,3.6775548840483547,3.6286728944625914,3.2151877826112902,3.5905046976549357,3.1023596848247874,3.594688672390379,3.5054948325648763,3.1341257080981015,3.712526317601932,3.457032789424171,3.5518800029428994,3.514927669441815,3.702112892694541,2.7103509355022473,3.5802829803588168
23,,3.530003587167405,3.671633114271049,3.625111038890164,3.2060655960134903,3.58520567979712,3.0894114386881775,3.5893849060503213,3.4951579034878435,3.134273341052303,3.7076420133892776,3.4521337546890103,3.542941853746236,3.5116941642946453,3.693537622450844,2.7095679908949357,3.5748165060181343
24,,3.5272875275379736,3.6657825061968543,3.6215970687286965,3.197398590126249,3.5799744963806233,3.077017742646798,3.583962774016586,3.4849525703949196,3.1339702165946863,3.702494511164734,3.447086617030447,3.534099433385653,3.50820490009927,3.684942914213528,2.708277837497095,3.568968368613108
25,,3.5246583905452167,3.659830879926765,3.6179201885897174,3.1883005202058023,3.574566968927809,3.064119061957775,3.5785433000358133,3.4746898608056975,3.134148377115188,3.697626547949409,3.442151351993397,3.525180306329951,3.504893178664834,3.6764055748576085,2.7075139645344164,3.5635408029856235
26,,3.52210648808143,3.653784423817902,3.6140993865133813,3.1788165305995557,3.569004013356559,3.05076504546935,3.573121737237447,3.4643791077982153,3.1347515185205537,3.6930071841214183,3.43731491671605,3.5161919005291717,3.5017350199471418,3.6679199303683303,2.707211532934975,3.5584887477799496
27,,3.5196235169871515,3.647648475577064,3.610150936228376,3.1689853351900443,3.563303554593467,3.0369983359999297,3.567694057730281,3.454028303065873,3.1357313940995466,3.688609901190975,3.432566140684847,3.5071406085237027,3.498709902287751,3.6594811249460193,2.7073150210254466,3.553773560914222
28,,3.5172023202624443,3.6414276687741567,3.6060888651399505,3.158840326023384,3.557481042268763,3.022855777627374,3.562256828389764,3.443644328195158,3.137046425256982,3.6844118395234835,3.4278954028537885,3.4980319657509176,3.495800165956985,3.6510849798425555,2.707776617685853,3.5493619129609053
29,,3.514836696035942,3.6351260500535205,3.6019253287203243,3.1484104602122653,3.5515498632722378,3.00836938152448,3.556807111489191,3.4332331396879945,3.138660590101215,3.6803931885181,3.423294373340234,3.488870793191898,3.492990535989255,3.6427278804312717,2.7085549368760193,3.545224901850023
30,,3.5123311164522937,3.628885620220579,3.5978433942770183,3.1384207348445847,3.545720642825303,2.9944037538358264,3.551254047828052,3.4229486688280386,3.139805673897533,3.6761093648691943,3.418553854294602,3.4797989888021554,3.4899306260958904,3.634347017371804,2.708798700626147,3.540705352612162
31,,3.5096994482714097,3.6227016803861534,3.593835713335973,3.1288304584190003,3.539984522468976,2.980912059647358,3.545609154952248,3.4127818842019204,3.1405269085786167,3.6715875461526153,3.4136886607647314,3.4708105192566583,3.4866455394071423,3.625947417215866,2.7085606030034763,3.535842826152987
32,,3.506953875530113,3.6165700981032263,3.589895827660027,3.1196038703319298,3.534333715748751,2.967853131453395,3.5398825469829123,3.402724834211139,3.140864039094566,3.666851605440316,3.4087118051062433,3.461900071571014,3.4831573300156906,3.61753348330831,2.7078869371643326,3.530672067039936
33,,3.504105147006283,3.6104872240760146,3.5860180383325138,3.110709415748983,3.5287613505712496,2.9551906357601734,3.5340831410320384,3.3927704883537895,3.1408521303370085,3.661922597302204,3.4036347621119876,3.4530629472204017,3.4794854513882534,3.6091090875045704,2.7068185367379316,3.5252237119074925
34,,3.501283996332461,3.6037565668401115,3.581995557713865,3.100893756508999,3.5230396761213476,2.9417099290356252,3.5282509587875786,3.382289750173761,3.141133319717341,3.6561988357176616,3.3985993173668767,3.4435604663115487,3.4758978700475462,3.600195377959734,2.7060701399362723,3.519228974110454
35,,3.498488222424718,3.596429977239912,3.57784117476552,3.0902270765010647,3.517182225758974,2.9274670698970873,3.522385849270719,3.371321372642699,3.141681206754548,3.6497309582056285,3.3936017686872755,3.4334385206803337,3.4723846799608404,3.590824735825551,2.705610572487078,3.5127188422023146
36,,3.4957158625460814,3.588553723955271,3.5735662944503144,3.078772020267216,3.511201067245736,2.9125122385670306,3.5164877080330417,3.359900010164972,3.142472255289239,3.6425643092881623,3.3886388200672233,3.422738169635464,3.4689370704181384,3.5810261592161323,2.70541207174744,3.505721169466068
37,,3.4929651609424393,3.580169227870684,3.5691811198402035,3.0665846848025304,3.5051069955926466,2.8968905086869663,3.510556470832735,3.3480567570063675,3.143485416552,3.634739635514218,3.3837075281898725,3.4114962747442257,3.46554718176406,3.5708257073234178,2.7054498374871954,3.4982610843279587
38,,3.4902345423037002,3.5713136834651507,3.5646948062074078,3.0537154587714466,3.498909696238963,2.880642500403703,3.504592108284849,3.3358196028943414,3.1447018102214384,3.6262936735664337,3.378805257168194,3.399746036966543,3.462207983325594,3.560246876214769,2.70570165178479,3.4903613376488556
39,,3.4874165260178778,3.562627186263048,3.5602921141254584,3.0412819505832305,3.4928118384102556,2.864839582336513,3.4985665070794028,3.323758818883108,3.14556975483769,3.6178024343399025,3.373814464983101,3.388160147811893,3.4586937702780576,3.5497329029476816,2.705553794847689,3.482301512461146
40,,3.4845180848750337,3.5540982708833475,3.5559671525319763,3.0292529351291027,3.4868066753808664,2.8494515132619296,3.492485686346381,3.3118640778474973,3.1461157584527744,3.609271812010153,3.3687429894387546,3.376728947983778,3.455018716884269,3.539281703054523,2.705037664317199,3.474097090696573
41,,3.481545526098001,3.5457165608992973,3.5517145910497754,3.017600159043126,3.48088810163732,2.834450917330313,3.486355085378605,3.300126020927687,3.146363800981123,3.6007071251449,3.3635979163294216,3.365443684879617,3.4511956419990617,3.528891375318834,2.7041816555961296,3.4657620542115124
42,,3.4785045687377765,3.5374726422257066,3.547529594791507,3.00629799515729,3.4750505783221226,2.819812950976331,3.4801796310828808,3.2885361450307156,3.146335628181603,3.5921131837139857,3.3583856669051526,3.3542964072353323,3.447236166696809,3.518560180554719,2.7030115110130613,3.4573090593884044
43,,3.475520479600068,3.5288208295153565,3.5431143912010956,2.9944459186617394,3.4689745116939292,2.804700690172288,3.4739279344007445,3.2766156087962752,3.1463415228441605,3.583022661082154,3.3531890185050783,3.342730021161988,3.4432682285925726,3.507908891413666,2.70208417255154,3.4485114347028425
44,,3.472591202031268,3.5197870724829228,3.538484303420631,2.982076712011216,3.4626750376788737,2.7891394573613373,3.4676026943000187,3.2643836301476763,3.1463748065527177,3.5734585955243285,3.34800743053941,3.3307667140870927,3.4392894328467793,3.4969536179026384,2.701380978747878,3.4393827592301167
45,,3.469714849937958,3.5103950822196057,3.5336533233618392,2.969220347275966,3.456165983403525,2.773152519281149,3.461206403146973,3.251857824840056,3.146429413582743,3.5634421766752906,3.342840409051907,3.31842684740495,3.435297620572165,3.485709162520032,2.700884912744823,3.429935608167503
46,,3.4668896896730703,3.50066656923596,3.5286342533223967,2.9559042848831423,3.449460006395788,2.7567613038920173,3.454741368483078,3.2390543761500665,3.1464998255457064,3.552992940682593,3.3376875017535164,3.3057291496943906,3.431290843553735,3.4741891584049687,2.700580427165422,3.4201816575358572
