Ls,TOA,DD,B/E,D/E
155.0,538.7895856424411,4.76e-10,0.5996350899899696,0.3649216350580614
160.0,549.8071760478022,5.35e-10,0.59008435200796,0.3730485745858944
165.0,560.3357875894279,5.94e-10,0.5804040653869409,0.38103276117994667
170.0,570.2135503712702,5.97e-10,0.569265121079158,0.3898814599142367
175.0,579.2918926486545,6e-10,0.5579505623932765,0.3985442293737603
180.0,587.4393622821624,6.03e-10,0.5464236034324113,0.40700170075224107
185.0,594.545301645343,5.796666666666666e-10,0.5403403700679096,0.4118235448548415
190.0,600.5232469733837,5.563333333333334e-10,0.533846975234145,0.4167014112983784
195.0,605.3139043902589,5.33e-10,0.5269520277235941,0.4216267824978342
200.0,608.8875407497586,5.91e-10,0.5113023863828813,0.4327711451363861
205.0,611.2456193409115,6.49e-10,0.49557351228591673,0.44357602399159596
210.0,612.4215100275884,7.07e-10,0.492391476031045,0.4412018154430246
215.0,612.4801125358636,7.716666666666667e-10,0.43659342121205286,0.47891791546607704
220.0,611.5162529809041,8.363333333333333e-10,0.3862960938529366,0.5098676943534984
225.0,609.6517505297464,9.01e-10,0.34107917028290546,0.5347925763039539
230.0,607.0311067817947,9.673333333333333e-10,0.31221666090928624,0.5487927479969208
235.0,603.8158479274856,1.0336666666666665e-09,0.28547362333697823,0.5605107450428405
240.0,600.177649971719,1.1e-09,0.2608398425652651,0.570147733742419
245.0,596.2904973139082,1.0283333333333332e-09,0.2771849451248081,0.563041691839401
250.0,592.3222557586707,9.566666666666667e-10,0.2953343971562879,0.5545627264968492
255.0,588.4261661702072,8.85e-10,0.3155422106943146,0.5445129882869496
260.0,584.732861203718,8.160000000000001e-10,0.32471395446465573,0.5398770257793842
265.0,581.3435483314153,7.47e-10,0.3348972056736284,0.5348316479125855
270.0,578.3249648046465,6.78e-10,0.34615447220153517,0.5294953485207551
275.0,575.7065834653637,6.136666666666667e-10,0.3653427102912149,0.5179965935177883
280.0,573.48034078497,5.493333333333333e-10,0.3755291404432725,0.5155771455191215
285.0,571.6028993764886,4.85e-10,0.39764659465052893,0.5022695581853938
290.0,570.0001908923143,4.68e-10,0.4321961905735736,0.4804848013620714
295.0,568.573759415098,4.51e-10,0.4698932215506545,0.455531397431313
300.0,567.2082777078705,4.34e-10,0.5107795141132754,0.4271290294117455
305.0,565.7795566473959,4.47e-10,0.497522258322824,0.4381667219251302
310.0,564.1624072263277,4.6e-10,0.49832994115605966,0.43516275224545986
315.0,562.2378227702716,4.73e-10,0.48610944344991797,0.4454949676603456
320.0,559.8990962682445,5.34e-10,0.44567271545126697,0.4753674034740733
325.0,557.0566444662446,5.95e-10,0.40936475692428065,0.5008056110473289
330.0,553.6414539573451,6.56e-10,0.3765818435513607,0.5223603032461699
335.0,549.6071813983768,6.163333333333334e-10,0.38532294127817196,0.521882629592442
340.0,544.9310250939654,5.766666666666666e-10,0.4039878059473698,0.5112748057836817
345.0,539.6135394957599,5.37e-10,0.4229151029456211,0.4998618631166306
350.0,533.6775920825099,5.37e-10,0.4594929067461538,0.4757199742272371
355.0,527.1666692947383,5.37e-10,0.4984991049457287,0.44815893696388986
0.0,493.2147565771681,3.6e-10,0.5671229495751842,0.3830204589655862
5.0,491.3138996873679,3.246666666666667e-10,0.5954129517669744,0.3624511854961378
10.0,488.89236887688986,2.893333333333333e-10,0.6240503999485185,0.340690155296052
15.0,486.0238860405833,2.54e-10,0.653101585179881,0.3177078896522745
20.0,482.7946449817135,2.656666666666667e-10,0.6474291711383827,0.32343783821154587
25.0,479.3007723263356,2.773333333333333e-10,0.6414908308242362,0.3291770316882402
